date,block_id,district_id,academicyear_id,meeting_conducted
02/01/23,block_001,district_001,2022-23,1
02/01/23,block_002,district_002,2022-23,0
02/01/23,block_003,district_003,2022-23,1
02/01/23,block_004,district_004,2022-23,0
02/01/23,block_005,district_005,2022-23,1
02/01/23,block_006,district_006,2022-23,0
02/01/23,block_007,district_007,2022-23,1
02/01/23,block_008,district_008,2022-23,1
02/01/23,block_009,district_009,2022-23,1
02/01/23,block_010,district_010,2022-23,1
02/01/23,block_011,district_011,2022-23,1
02/01/23,block_012,district_012,2022-23,1
02/01/23,block_013,district_013,2022-23,1
02/01/23,block_014,district_014,2022-23,1
02/01/23,block_015,district_015,2022-23,1
02/01/23,block_016,district_016,2022-23,1
02/01/23,block_017,district_017,2022-23,1
02/01/23,block_018,district_018,2022-23,1
02/01/23,block_019,district_019,2022-23,1
02/01/23,block_020,district_020,2022-23,1
02/01/23,block_021,district_021,2022-23,1
02/01/23,block_022,district_022,2022-23,1
02/01/23,block_023,district_023,2022-23,1
02/01/23,block_024,district_024,2022-23,1
02/01/23,block_025,district_025,2022-23,1
02/01/23,block_026,district_026,2022-23,1
02/01/23,block_027,district_027,2022-23,1
02/01/23,block_028,district_028,2022-23,1
02/01/23,block_029,district_029,2022-23,1
02/01/23,block_030,district_030,2022-23,1
02/01/23,block_031,district_031,2022-23,1
02/01/23,block_032,district_032,2022-23,1
02/01/23,block_033,district_033,2022-23,1
02/01/23,block_034,district_034,2022-23,1
02/01/23,block_035,district_035,2022-23,1
02/01/23,block_036,district_036,2022-23,1
02/01/23,block_037,district_037,2022-23,1
02/01/23,block_038,district_038,2022-23,1
02/01/23,block_039,district_039,2022-23,1
02/01/23,block_040,district_040,2022-23,1
02/01/23,block_041,district_041,2022-23,1
02/01/23,block_042,district_042,2022-23,1
02/01/23,block_043,district_043,2022-23,1
02/01/23,block_044,district_044,2022-23,1
02/01/23,block_045,district_045,2022-23,1
02/01/23,block_046,district_046,2022-23,1
02/01/23,block_047,district_047,2022-23,1
02/01/23,block_048,district_048,2022-23,1
02/01/23,block_049,district_049,2022-23,1
02/01/23,block_050,district_050,2022-23,1
02/01/23,block_051,district_051,2022-23,1
02/01/23,block_052,district_052,2022-23,1
02/01/23,block_053,district_053,2022-23,1
02/01/23,block_054,district_054,2022-23,1
02/01/23,block_055,district_055,2022-23,1
02/01/23,block_056,district_056,2022-23,1
02/01/23,block_057,district_057,2022-23,1
02/01/23,block_058,district_058,2022-23,1
02/01/23,block_059,district_059,2022-23,1
02/01/23,block_060,district_060,2022-23,1
02/01/23,block_061,district_061,2022-23,1
02/01/23,block_062,district_062,2022-23,1
02/01/23,block_063,district_063,2022-23,1
02/01/23,block_064,district_064,2022-23,1
02/01/23,block_065,district_065,2021-22,1
02/01/23,block_066,district_066,2021-22,1
02/01/23,block_067,district_067,2021-22,1
02/01/23,block_068,district_068,2021-22,1
02/01/23,block_069,district_069,2021-22,1
02/01/23,block_070,district_070,2021-22,1
02/01/23,block_071,district_071,2021-22,1
02/01/23,block_072,district_072,2021-22,1
02/01/23,block_073,district_073,2021-22,1
02/01/23,block_074,district_074,2021-22,1
02/01/23,block_075,district_075,2021-22,1
02/01/23,block_076,district_076,2021-22,1
02/01/23,block_077,district_077,2021-22,1
02/01/23,block_078,district_078,2021-22,1
02/01/23,block_079,district_079,2021-22,1
02/01/23,block_080,district_080,2021-22,1
02/01/23,block_081,district_081,2021-22,1
02/01/23,block_082,district_082,2021-22,1
02/01/23,block_083,district_083,2021-22,1
02/01/23,block_084,district_084,2021-22,1
02/01/23,block_085,district_085,2021-22,1
02/01/23,block_086,district_086,2021-22,1
02/01/23,block_087,district_087,2021-22,1
02/01/23,block_088,district_088,2021-22,1
02/01/23,block_089,district_089,2021-22,1
02/01/23,block_090,district_090,2021-22,0
02/01/23,block_091,district_091,2021-22,0
02/01/23,block_092,district_092,2021-22,0
02/01/23,block_093,district_093,2021-22,0
02/01/23,block_094,district_094,2021-22,0
02/01/23,block_095,district_095,2021-22,0
02/01/23,block_096,district_096,2021-22,0
02/01/23,block_097,district_097,2021-22,0
02/01/23,block_098,district_098,2021-22,0
02/01/23,block_099,district_099,2021-22,0
02/01/23,block_100,district_100,,0